Var1,Freq,Mutations
2021/6/23,8,Lineage A
2021/6/24,10,Lineage A
2021/6/25,11,Lineage A
2021/6/26,11,Lineage A
2021/6/27,3,Lineage A
2021/6/28,11,Lineage A
2021/6/29,27,Lineage A
2021/6/30,6,Lineage A
2021/7/1,18,Lineage A
2021/7/2,20,Lineage A
2021/7/3,11,Lineage A
2021/7/4,13,Lineage A
2021/7/5,12,Lineage A
2021/7/6,14,Lineage A
2021/7/7,18,Lineage A
2021/7/8,18,Lineage A
2021/7/9,19,Lineage A
2021/7/10,12,Lineage A
2021/7/11,5,Lineage A
2021/7/12,9,Lineage A
2021/7/13,16,Lineage A
2021/7/14,14,Lineage A
2021/7/15,10,Lineage A
2021/7/16,20,Lineage A
2021/7/17,11,Lineage A
2021/7/18,8,Lineage A
2021/7/19,11,Lineage A
2021/7/20,5,Lineage A
2021/7/21,7,Lineage A
2021/7/22,11,Lineage A
2021/7/23,21,Lineage A
2021/7/24,4,Lineage A
2021/7/25,1,Lineage A
2021/7/26,6,Lineage A
2021/7/27,10,Lineage A
2021/7/28,6,Lineage A
2021/7/29,5,Lineage A
2021/7/30,5,Lineage A
2021/7/31,4,Lineage A
2021/8/1,6,Lineage A
2021/8/2,5,Lineage A
2021/8/3,1,Lineage A
2021/8/4,2,Lineage A
2021/8/5,4,Lineage A
2021/8/6,10,Lineage A
2021/8/7,4,Lineage A
2021/8/8,2,Lineage A
2021/8/9,0,Lineage A
2021/8/10,4,Lineage A
2021/8/11,2,Lineage A
2021/8/12,3,Lineage A
2021/8/13,0,Lineage A
2021/8/14,0,Lineage A
2021/8/15,0,Lineage A
2021/8/16,3,Lineage A
2021/8/17,2,Lineage A
2021/8/18,1,Lineage A
2021/8/19,1,Lineage A
2021/8/20,0,Lineage A
2021/8/21,2,Lineage A
2021/8/22,3,Lineage A
2021/8/23,3,Lineage A
2021/8/24,1,Lineage A
2021/8/25,0,Lineage A
2021/8/26,1,Lineage A
2021/8/27,0,Lineage A
2021/8/28,0,Lineage A
2021/8/29,0,Lineage A
2021/8/30,1,Lineage A
2021/8/31,2,Lineage A
2021/9/1,0,Lineage A
2021/9/2,1,Lineage A
2021/9/3,1,Lineage A
2021/9/4,1,Lineage A
2021/9/5,0,Lineage A
2021/9/6,0,Lineage A
2021/9/7,0,Lineage A
2021/9/8,1,Lineage A
2021/9/9,1,Lineage A
2021/9/10,0,Lineage A
2021/9/11,0,Lineage A
2021/9/12,0,Lineage A
2021/9/13,0,Lineage A
2021/9/14,0,Lineage A
2021/9/15,0,Lineage A
2021/9/16,0,Lineage A
2021/9/17,0,Lineage A
2021/9/18,0,Lineage A
2021/9/19,0,Lineage A
2021/9/20,0,Lineage A
2021/9/21,2,Lineage A
2021/9/22,0,Lineage A
2021/9/23,0,Lineage A
2021/9/24,0,Lineage A
2021/9/25,0,Lineage A
2021/9/26,0,Lineage A
2021/9/27,0,Lineage A
2021/9/28,0,Lineage A
2021/9/29,1,Lineage A
2021/9/30,0,Lineage A
2021/10/1,0,Lineage A
2021/10/2,0,Lineage A
2021/10/3,0,Lineage A
2021/10/4,0,Lineage A
2021/10/5,0,Lineage A
2021/10/6,0,Lineage A
2021/10/7,0,Lineage A
2021/10/8,0,Lineage A
2021/10/9,0,Lineage A
2021/10/10,0,Lineage A
2021/10/11,0,Lineage A
2021/10/12,0,Lineage A
2021/10/13,5,Lineage A
2021/10/14,0,Lineage A
2021/10/15,0,Lineage A
2021/10/16,0,Lineage A
2021/10/17,0,Lineage A
2021/10/18,0,Lineage A
2021/10/19,0,Lineage A
2021/10/20,0,Lineage A
